timestamp,cpu_avg,rps,mem_avg,lat_p95,err_rate,phi1,phi2,phi3
1527379200,0.1613,11.2,0.8714,55.3,0.00144,0.5236,0.4151,0.0613
1527379500,0.1847,11.3,0.8686,56.5,0.00121,0.5228,0.4144,0.0628
1527379800,0.3082,11.4,0.8999,69.2,0.00113,0.5093,0.4033,0.0874
1527380100,0.2466,11.6,0.8682,58.5,0.00121,0.5229,0.4139,0.0632
1527380400,0.3018,11.8,0.8913,64.3,0.00253,0.5164,0.4091,0.0745
1527380700,0.2675,11.5,0.8899,57.0,0.00121,0.5262,0.4166,0.0572
1527381000,0.2838,11.7,0.8963,57.9,0.00206,0.5254,0.4163,0.0583
1527381300,0.2406,11.4,0.857,55.5,0.00177,0.5273,0.4176,0.0551
1527381600,0.2301,11.2,0.8527,55.6,0.00178,0.5265,0.4169,0.0565
1527381900,0.2427,10.9,0.8604,69.2,0.00127,0.5063,0.4008,0.0928
1527382200,0.2692,10.4,0.8677,66.7,0.00103,0.5113,0.4045,0.0842
1527382500,0.1929,10.0,0.8566,52.4,0.00141,0.5297,0.4197,0.0506
1527382800,0.1878,10.8,0.8761,52.2,0.00136,0.5299,0.4195,0.0506
1527383100,0.2604,10.4,0.9023,57.2,0.00279,0.5255,0.4158,0.0586
1527383400,0.2073,11.4,0.8655,53.7,0.00144,0.5284,0.4187,0.0529
1527383700,0.1683,11.4,0.8494,52.7,0.00138,0.5281,0.4186,0.0534
1527384000,0.419,11.4,0.9118,72.5,0.00174,0.5093,0.4035,0.0872
1527384300,0.3328,11.7,0.8336,69.7,0.00105,0.5097,0.4036,0.0867
1527384600,0.3388,11.5,0.8396,65.7,0.00117,0.5159,0.4085,0.0756
1527384900,0.3493,11.3,0.8471,65.0,0.00245,0.5175,0.4097,0.0727
1527385200,0.2778,11.5,0.8217,62.7,0.0022,0.5175,0.4102,0.0722
1527385500,0.2995,11.1,0.8225,67.3,0.00178,0.5114,0.4055,0.0831
1527385800,0.2787,12.1,0.8459,60.2,0.00146,0.5216,0.4133,0.0651
1527386100,0.2806,12.7,0.8356,59.2,0.00329,0.5233,0.4147,0.062
1527386400,0.2497,12.4,0.8378,63.5,0.00116,0.5153,0.4082,0.0765
1527386700,0.2997,12.3,0.8439,63.2,0.00171,0.5181,0.4104,0.0715
1527387000,0.257,12.0,0.8433,65.5,0.00108,0.5126,0.406,0.0814
1527387300,0.3228,12.1,0.854,63.1,0.00207,0.5194,0.4111,0.0696
1527387600,0.3099,12.3,0.8203,68.6,0.0019,0.5105,0.4041,0.0853
1527387900,0.2566,11.5,0.8175,85.6,0.00152,0.484,0.3832,0.1328
1527388200,0.2659,12.4,0.8122,60.7,0.00155,0.5203,0.4124,0.0673
1527388500,0.2728,12.7,0.8142,60.8,0.00243,0.5206,0.4125,0.0669
1527388800,0.256,12.9,0.8143,72.3,0.00354,0.5029,0.3982,0.0989
1527389100,0.2548,13.0,0.8178,61.5,0.00124,0.5189,0.4106,0.0705
1527389400,0.2878,12.8,0.8023,58.7,0.00137,0.5245,0.4155,0.06
1527389700,0.2479,12.9,0.8182,56.4,0.00168,0.5264,0.4167,0.0569
1527390000,0.2598,12.5,0.822,57.9,0.00164,0.5244,0.4155,0.0601
1527390300,0.3194,12.4,0.8551,71.9,0.00124,0.5058,0.4009,0.0933
1527390600,0.2888,12.4,0.8406,60.1,0.00274,0.5222,0.4139,0.0639
