timestamp,cpu_avg,rps,mem_avg,lat_p95,err_rate,phi1,phi2,phi3
1527379200,0.3609,41.8,0.4346,95.8,0.00125,0.3294,0.3967,0.2738
1527379500,0.3576,39.6,0.4352,81.1,0.00156,0.3272,0.3982,0.2745
1527379800,0.3746,43.2,0.4381,94.3,0.00159,0.3367,0.3937,0.2696
1527380100,0.3243,42.3,0.4407,83.5,0.00241,0.3045,0.4138,0.2817
1527380400,0.319,36.6,0.4419,83.4,0.00182,0.3007,0.4165,0.2828
1527380700,0.4297,44.4,0.4423,81.1,0.0013,0.3666,0.3774,0.256
1527381000,0.3693,45.6,0.4414,73.7,0.00164,0.3325,0.3974,0.2701
1527381300,0.3427,41.3,0.4402,82.9,0.00175,0.3165,0.4065,0.277
1527381600,0.3896,40.9,0.4421,90.4,0.00133,0.3443,0.3907,0.2651
1527381900,0.4465,47.9,0.4394,87.9,0.0023,0.3765,0.3705,0.253
1527382200,0.3858,40.6,0.4367,82.0,0.00272,0.3437,0.389,0.2673
1527382500,0.406,42.0,0.4358,94.0,0.00249,0.3556,0.3817,0.2627
1527382800,0.3739,41.9,0.4369,90.8,0.00145,0.3366,0.3933,0.2701
1527383100,0.395,36.9,0.423,88.7,0.00122,0.3533,0.3784,0.2683
1527383400,0.3925,37.3,0.4219,93.9,0.0012,0.3522,0.3786,0.2692
1527383700,0.3716,39.3,0.4105,80.1,0.00176,0.3434,0.3794,0.2772
1527384000,0.3347,35.4,0.4115,81.3,0.00276,0.3199,0.3933,0.2868
1527384300,0.4121,44.8,0.4108,101.1,0.00157,0.367,0.3658,0.2672
1527384600,0.377,38.7,0.4124,88.1,0.00212,0.3461,0.3786,0.2754
1527384900,0.3436,34.8,0.4096,85.1,0.00255,0.3262,0.3889,0.2848
1527385200,0.3462,43.6,0.4043,98.5,0.00279,0.3296,0.3849,0.2856
1527385500,0.3815,41.0,0.3998,79.8,0.00201,0.3528,0.3697,0.2774
1527385800,0.3474,39.5,0.3986,89.5,0.00125,0.3321,0.3811,0.2868
1527386100,0.366,36.3,0.403,96.6,0.00256,0.3424,0.377,0.2806
